"id","timestamp","titleChi","title","date","releaseDate","platformEngName","platformChineseName","platformType","numWantToSee","rating","byGenderMale","byGenderFemale","byAge20","byAge20To24","byAge25To29","byAge30To34","byAge35To39","byAge40","byTier1","byTier2","byTier3","byTier4","createdAt","updatedAt"
"1499","1560904056799","八子","ADVANCE WAVE UPON WAVE","null","2019-06-21大陆上映","Maoyan","猫眼","Web","1.2万人","null","43.9%","56.1%","3.1%","30.2%","28.5%","19.1%","9.8%","9.2%","34.1%","29.8%","18.2%","17.9%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1491","1560904056799","潜行者","臥虎潛龍","null","2019-06-28大陆上映","Maoyan","猫眼","Web","1622人","null","","","3.6%","27.1%","33.2%","22%","7.5%","6.5%","36.3%","26.2%","21.1%","16.4%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1492","1560904056799","超级的我","Super Me","null","2019-06-28大陆上映","Maoyan","猫眼","Web","2.0万人","null","43.3%","56.7%","3.2%","30.7%","28.4%","19%","9.7%","9.1%","35.9%","29.2%","18.9%","16%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1488","1560904056799","最后一刻","Crazy House","null","2019-06-28大陆上映","Maoyan","猫眼","Web","351人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1489","1560904056799","学区房72小时","If You are Happy","null","2019-06-28大陆上映","Maoyan","猫眼","Web","430人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1490","1560904056799","你咪理，我爱你！","I Love You, You Are Perfect, Now Change","null","2019-06-28大陆上映","Maoyan","猫眼","Web","498人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1487","1560904056799","星月夜","The Starry Night","null","2019-06-28大陆上映","Maoyan","猫眼","Web","221人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1484","1560904056799","爱宠大机密2","The Secret Life of Pets 2","null","2019-07-05大陆上映","Maoyan","猫眼","Web","5.6万人","null","36.8%","63.2%","6.2%","33.6%","22.5%","14.7%","11%","12.1%","42.9%","24.3%","19.6%","13.1%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1485","1560904056799","八佰","The Eight Hundred","null","2019-07-05大陆上映","Maoyan","猫眼","Web","9.2万人","null","69.2%","30.7%","4.8%","32%","30.3%","16.5%","8.3%","8.1%","41.5%","24%","20.7%","13.8%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1486","1560904056799","别岁","Yesterday Once More","null","2019-07-02大陆上映","Maoyan","猫眼","Web","869人","null","","","","","","","","","","","","","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1482","1560904056799","猪猪侠·不可思议的世界","","null","2019-07-05大陆上映","Maoyan","猫眼","Web","1.8万人","null","41.6%","58.4%","6%","21.8%","16.9%","23%","19.2%","13.1%","36%","28.7%","26%","9.3%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1483","1560904056799","素人特工","The Rookies","null","2019-07-05大陆上映","Maoyan","猫眼","Web","3.9万人","null","60.1%","39.9%","4%","28.3%","29.4%","17.9%","10.1%","10.3%","41.3%","24.6%","21.2%","12.9%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1481","1560904056799","他她他她","If Thoughts Can Kill","null","2019-07-05大陆上映","Maoyan","猫眼","Web","1577人","null","38.9%","61.1%","4.4%","34.3%","28.5%","15.9%","8.4%","8.5%","41.4%","26.3%","17.5%","14.8%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1475","1560904056799","宝莱坞机器人2.0:重生归来","2.0","null","2019-07-12大陆上映","Maoyan","猫眼","Web","7554人","null","60.1%","39.9%","3.7%","31.8%","31.9%","16%","8%","8.4%","35.4%","24.1%","23.5%","17%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1476","1560904056799","镜仙","jing xian","null","2019-07-12大陆上映","Maoyan","猫眼","Web","7684人","null","45.5%","54.5%","7.7%","37.5%","23.3%","11.6%","10.4%","9.6%","36.5%","28.8%","25%","9.7%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
"1477","1560904056799","机动战士高达NT","機動戦士ガンダム NT（ナラティブ）","null","2019-07-12大陆上映","Maoyan","猫眼","Web","9467人","null","77.4%","22.5%","4.3%","30.8%","31.5%","16.5%","8.2%","8.8%","45.1%","19.2%","19.1%","16.6%","2019-06-19T00:27:36.000Z","2019-06-19T00:27:36.000Z"
