id,timestamp,titleChi,title,date,releaseDate,platformEngName,platformChineseName,platformType,numWantToSee,rating,byGenderMale,byGenderFemale,byAge20,byAge20To24,byAge25To29,byAge30To34,byAge35To39,byAge40,byTier1,byTier2,byTier3,byTier4,createdAt,updatedAt
1201,1.56082E+12,丑娃娃,UglyDolls,null,2019-08-09大陆上映,Maoyan,猫眼,Web,2024人,null,36.60%,63.40%,12.70%,24.60%,22%,18%,11.60%,11.20%,39.90%,24.70%,22.40%,13%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1200,1.56082E+12,凌晨两点半2,At Two Thirty,null,2019-08-09大陆上映,Maoyan,猫眼,Web,3.0万人,null,48.20%,51.80%,8.40%,40.90%,23.70%,10.80%,7.40%,8.80%,36.40%,28.80%,23.30%,11.60%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1199,1.56082E+12,上海堡垒,Shanghai Fortress,null,2019-08-09大陆上映,Maoyan,猫眼,Web,4.4万人,null,,,6.40%,32%,24.90%,15.10%,9.90%,11.80%,40.20%,26.20%,21.50%,12.20%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1197,1.56082E+12,烈火英雄,The Bravest,null,2019-08-01大陆上映,Maoyan,猫眼,Web,6400人,null,65.50%,34.50%,4.60%,33.20%,31%,15.80%,7.60%,7.80%,38.50%,27.20%,22.60%,11.80%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1198,1.56082E+12,使徒行者2：谍影行动,Line Walker 2,null,2019-08-09大陆上映,Maoyan,猫眼,Web,10.2万人,null,62.40%,37.60%,3.80%,31.70%,33.30%,17.60%,7.50%,6%,41%,22.60%,22%,14.40%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1192,1.56082E+12,武圣关公,God of War Kuan Kuong,null,2019-07-26大陆上映,Maoyan,猫眼,Web,644人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1193,1.56082E+12,诛仙,Jade Dynasty,null,2019-08-08大陆上映,Maoyan,猫眼,Web,2.8万人,null,66.40%,33.50%,4.10%,33.10%,36.60%,15.30%,5.40%,5.50%,41.80%,25.90%,21.90%,10.40%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1194,1.56082E+12,小Q,Little Q,null,2019-08-01大陆上映,Maoyan,猫眼,Web,1.9万人,null,42.50%,57.50%,3.20%,30.80%,28.10%,19.10%,9.70%,9.20%,34.30%,27.20%,20.70%,17.80%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1195,1.56082E+12,赛尔号大电影7：疯狂机器城,,null,2019-08-02大陆上映,Maoyan,猫眼,Web,7218人,null,47.60%,52.40%,9.40%,19.70%,12.40%,14.40%,21.90%,22.10%,35.60%,27.80%,26.70%,9.80%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1196,1.56082E+12,灶神来了,Kitchen God,null,2019-08-02大陆上映,Maoyan,猫眼,Web,110人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1189,1.56082E+12,银河补习班,Looking up,null,2019-07-26大陆上映,Maoyan,猫眼,Web,4.7万人,null,,,6.20%,37.70%,27.70%,12.50%,7%,9%,40.70%,28.10%,20.70%,10.50%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1190,1.56082E+12,跳舞吧！大象,Dancing Elephant,null,2019-07-26大陆上映,Maoyan,猫眼,Web,1.3万人,null,,,3.20%,31.10%,28.20%,19%,9.60%,8.90%,36.90%,28.30%,21%,13.80%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1191,1.56082E+12,魔音谷,mo yin gu,null,2019-07-26大陆上映,Maoyan,猫眼,Web,806人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1187,1.56082E+12,心之山,Mountain Of Heart,null,2019-07-20大陆上映,Maoyan,猫眼,Web,67人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1188,1.56082E+12,未来机器城,Next Gen,null,2019-07-26大陆上映,Maoyan,猫眼,Web,8.9万人,null,64.40%,35.50%,3.60%,26.20%,28.50%,18.40%,12.70%,10.60%,41.60%,33.10%,13.40%,11.90%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1180,1.56082E+12,怨灵3：看不见的小孩,Untold Body,null,2019-07-19大陆上映,Maoyan,猫眼,Web,3.0万人,null,51.20%,48.80%,7.50%,41%,26.90%,11.20%,6%,7.50%,38%,28.30%,23%,10.70%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1181,1.56082E+12,扫毒2天地对决,The White Storm 2,null,2019-07-19大陆上映,Maoyan,猫眼,Web,17.9万人,null,65.50%,34.50%,3.30%,28.90%,34.80%,19.30%,7.80%,5.80%,40.70%,23.50%,21.10%,14.60%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1182,1.56082E+12,猪八戒传说,The Legend of Pig Warrior,null,2019-07-19大陆上映,Maoyan,猫眼,Web,2.0万人,null,43.40%,56.60%,3.10%,30.60%,28.40%,19.10%,9.70%,9.10%,34.20%,27.50%,19.30%,18.90%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1183,1.56082E+12,星际侠探,Space Detective,null,2019-07-20大陆上映,Maoyan,猫眼,Web,248人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1184,1.56082E+12,刀背藏身,The Hidden Sword,null,2019-07-19大陆上映,Maoyan,猫眼,Web,6782人,null,47.40%,52.60%,3.70%,33.90%,27.10%,17.80%,8.80%,8.70%,43.50%,19.50%,19%,18%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1185,1.56082E+12,温暖的寒冬,The Warm Winter,null,2019-07-19大陆上映,Maoyan,猫眼,Web,64人,null,,,,,,,,,,,,,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1186,1.56082E+12,为家而战,Fighting with My Family,null,2019-07-19大陆上映,Maoyan,猫眼,Web,6142人,null,43.90%,56.10%,3.30%,32.10%,26.90%,19.30%,9.40%,8.90%,38.20%,29.40%,25.20%,7.20%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1177,1.56082E+12,鼠胆英雄,Coward Hero,null,2019-07-19大陆上映,Maoyan,猫眼,Web,2.4万人,null,,,3.70%,33.90%,31.50%,16.30%,7.70%,7%,38.50%,29.10%,23.50%,9%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1178,1.56082E+12,九克拉战栗,Diamond Anxiety,null,2019-07-12大陆重映,Maoyan,猫眼,Web,3936人,null,47.60%,52.40%,5%,30.60%,24.80%,16.30%,11.80%,11.50%,32.40%,31%,26.30%,10.30%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
1179,1.56082E+12,伟大的愿望,The Last Wish,null,2019-07-18大陆上映,Maoyan,猫眼,Web,4.5万人,null,42.90%,57.10%,3.80%,32.20%,26.60%,18.70%,9.40%,9.20%,34.30%,26.50%,20.40%,18.80%,2019-06-18T00:25:34.000Z,2019-06-18T00:25:34.000Z
